rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
67,LIKELY,,31,2023,Interactive Peer Instruction Method Applied to Classroom Environments Considering a Learning Engineering Approach to Innovate the Teaching–Learning Process,https://doi.org/10.3390/educsci13030301,Jessica Jazmín Rivadeneira Peñafiel; Esteban Inga,Education Sciences,Frames peer instruction 'considering a learning engineering approach'; uses LE framing though evidence is modest.,openalex|semanticscholar
68,NO,,30,2015,"Distance Learning Engineering Students Languish Under Project-Based Learning, But Thrive in Case Studies and Practical Workshops",https://doi.org/10.1109/te.2015.2453349,Arthur James Swart,IEEE Transactions on Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
69,NO,,30,2020,From Pie To Apples: The Evolution Of A Survey Instrument To Explore Engineering Student Pathways,https://doi.org/10.18260/1-2--3636,Helen Chen; Krista Donaldson; Ozgur Eris,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
70,NO,,30,2014,Using Problem-Based Learning to Stimulate Entrepreneurial Awareness Among Senior African Undergraduate Students,https://doi.org/10.12973/eurasia.2014.1023a,Arthur James Swart,Eurasia Journal of Mathematics Science and Technology Education,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
71,NO,,30,2024,Use of Chat GPT in English for Engineering Classes: Are Students’ and Teachers’ Views on Its Opportunities and Challenges Similar?,https://doi.org/10.3991/ijim.v18i03.45025,Oksana Synekop; Iryna Lytovchenko; Yuliana Lavrysh,International Journal of Interactive Mobile Technologies (iJIM),Synekop et al. ChatGPT in 'learning engineering English' — ESP for engineering students.,openalex|semanticscholar
72,NO,,29,2020,FedVision: An Online Visual Object Detection Platform Powered by Federated Learning,https://doi.org/10.48550/arxiv.2001.06202,Yang Liu; Anbu Huang; Yun Luo,arXiv (Cornell University),No LE-discipline signals found.,openalex
73,NO,,28,2015,"Leadership, Management, and Diversity: Missed Opportunities Within Student Design Competition Teams",https://doi.org/10.18260/p.24396,Susan Walden; Cindy Foor; Rui Pan,,Walden SELECT teams; acronym expansion; EngEd diversity study.,openalex|semanticscholar
74,NO,,28,2005,A Qualitative Study of a Course Trilogy in Biosystems Engineering Design,https://doi.org/10.1002/j.2168-9830.2005.tb00853.x,Marcia Friesen; K. Lynn Taylor; M. G. Britton,Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
75,NO,,28,2021,Engineering play with blocks as an informal learning context for executive function and planning,https://doi.org/10.1002/jee.20421,Zachary S. Gold; James Elicker; Carly D. Evich,Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex
76,NO,,28,2008,FROM DIGITISED COMIC BOOKS TO DIGITAL HYPERMEDIA COMIC BOOKS: THEIR USE IN EDUCATION,,Vassilikopoulou Marianthi; Michael Boloudakis,,No abstract and no LE signals in title/venue/authors.,semanticscholar
77,NO,,27,1993,Can computers really help students understand electromagnetics,https://doi.org/10.1109/13.204829,James F. Hoburg,IEEE Transactions on Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
78,NO,,27,2004,Problem based learning in engineering education: a viable alternative for shaping graduates for the 21st century?,,Khairiyah Mohd‐Yusof; Azila Abdul Aziz; Mohd. Kamaruddin Abd. Hamid,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
79,NO,,27,2005,An innovative improvement of engineering learning system using computational fluid dynamics concept,https://doi.org/10.1002/cae.20056,T. C. Hung; S. K. Wang; Shih-Hsuan Tai,Computer Applications in Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
80,NO,,27,2009,Promoting creativity through problem oriented project based learning in engineering education at Malaysian polytechnics: Issues and challenges,,Ruhizan Mohammad Yasin; Ramlee Mustapha; Azami Zaharim,,PBL in Malaysian polytechnics engineering education — EngEd.,openalex|semanticscholar
81,NO,,26,2012,Teamwork in project-based learning: engineering students’ perceptions of strengths and weaknesses,,Anabela Carvalho Alves; Diana Mesquita; Francisco Moreira,RepositóriUM (Universidade do Minho),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
82,NO,,26,2010,AR_Dehaes: An Educational Toolkit Based on Augmented Reality Technology for Learning Engineering Graphics,https://doi.org/10.1109/icalt.2010.45,Jorge Martín‐Gutiérrez; José Luis Saorín; Manuel Contero,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
83,NO,,26,1999,&lt;title&gt;Constructive biology and approaches to temporal grounding in postreactive robotics&lt;/title&gt;,https://doi.org/10.1117/12.360335,Chrystopher L. Nehaniv; Kerstin Dautenhahn; Martin Loomes,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
84,NO,,26,2016,Global Continuous Optimization with Error Bound and Fast Convergence,https://doi.org/10.1613/jair.4742,Kenji Kawaguchi; Yu Maruyama; Xiaoyu Zheng,Journal of Artificial Intelligence Research,No LE-discipline signals found.,openalex|semanticscholar
85,NO,,26,2015,Identifying Factors That Enhance Undergraduate Engineering Students’ Global Preparedness,https://doi.org/10.18260/p.24211,Svetlana Levonisova; R. Savage; S. Streiner,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
86,NO,,25,2021,An Agile Software Development Life Cycle Model for Machine Learning Application Development,https://doi.org/10.1109/slaai-icai54477.2021.9664736,Romesh Ranawana; Asoka S. Karunananda,,ML-engineering sub-field (MLOps/DL eng) without LE context.,openalex|semanticscholar
87,NO,,25,2010,Enhancing Calculus Learning Engineering Students Through Problem-Based Learning,,M. Z. Mokhtar; R. A. Tarmizi; A. Ayub,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
88,NO,,24,2019,Stochastic Information Granules Extraction for Graph Embedding and Classification,https://doi.org/10.5220/0008149403910402,Luca Baldini; Alessio Martino; Antonello Rizzi,,No LE-discipline signals found.,openalex|semanticscholar
89,NO,,24,2021,On the Development of a Personalized Augmented Reality Spatial Ability Training Mobile Application,https://doi.org/10.3233/faia210078,Christos Papakostas; Christos Troussas; Akrivi Krouska,Frontiers in artificial intelligence and applications,PARSAT AR spatial-ability training for engineering students — EngEd intervention.,openalex|semanticscholar
90,NO,,23,2007,Targeting undergraduate students for surveys: Lessons from the Academic Pathways Of People Learning Engineering Survey (APPLES),https://doi.org/10.1109/fie.2007.4418168,Krista Donaldson; Helen L. Chen; George Toye,Proceedings/Proceedings - Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
91,NO,,23,2020,Parents as Critical Influence: Insights from Five Different Studies,https://doi.org/10.18260/1-2--22901,Brianna Dorie; Tamecia Jones; Meagan Pollock,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
92,NO,,23,1997,Teaching social responsibility,https://doi.org/10.1109/44.605947,C.J. Guenther,IEEE Technology and Society Magazine,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
93,NO,,22,1992,Learning engineering models with the minimum description length principle,,R. Bharat Rao; Stephen C.-Y. Lu,,"Rao & Lu 1992 MDL equation discovery for internal combustion engines — ML + eng design, not LE discipline.",openalex|semanticscholar
94,ADJACENT,,22,2023,Ethics and Educational Technology,https://doi.org/10.4324/9780203075241,Stephanie Moore; Heather K. Tillberg-Webb,,Moore & Tillberg-Webb 'Ethics and Educational Technology' lists LE as audience — adjacent EdTech-ethics book.,openalex
95,NO,,22,2020,Socioeconomic Status And The Undergraduate Engineering Experience: Preliminary Findings From Four American Universities,https://doi.org/10.18260/1-2--3622,Krista Donaldson; Gary Lichtenstein; Sheri Sheppard,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
96,NO,,21,2020,"Problem, Project, Inquiry, Or Subject Based Pedagogies: What To Do?",https://doi.org/10.18260/1-2--1019,David M. Malicky; Ming Huang; Susan Lord,,Malicky framework for selecting pedagogies — EngEd.,openalex|semanticscholar
97,NO,,20,2013,The Impact of Inclusive Excellence Programs on the Development of Engineering Identity among First-Year Underrepresented Students,https://doi.org/10.18260/1-2--22592,D. Knight; J. Sullivan; Daria A. Kotys-Schwartz,,No abstract and no LE signals in title/venue/authors.,semanticscholar
98,NO,,19,2007,"The Relationships of Spatial Experience, Previous Mathematics Achievement, and Gender with Perceived Ability in Learning Engineering Drawing",https://doi.org/10.21061/jte.v18i2.a.4,Ahmad Rafi; Khairul Anuar Samsudin,Journal of Technology Education,No LE-discipline signals found.,openalex|semanticscholar
99,NO,,19,2019,"Learning, discursive faultiness and dialogic engagement",https://doi.org/10.4324/9780429441677-9,Anna Sfard,,Sfard dialogic engagement chapter — 'learning engineering and medicine' = students learning engineering.,openalex
100,NO,,19,2020,Shifts in elementary teachers' pedagogical reasoning: Studying teacher learning in an online graduate program in engineering education,https://doi.org/10.1002/jee.20369,Jessica Watkins; Merredith Portsmore; Rebecca Swanson,Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex
101,NO,,18,2008,Scaling up: Taking the Academic Pathways of People Learning Engineering Survey (APPLES) national,https://doi.org/10.1109/fie.2008.4720596,Krista Donaldson; Helen L. Chen; George Toye,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
102,NO,,18,1998,The Development of an Undergraduate Distance Learning Engineering Degree for Industry ‐ A University/Industry Collaboration,https://doi.org/10.1002/j.2168-9830.1998.tb00354.x,N.N. Bengiamin; Arnold Johnson; Margaret Zidon,Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
103,NO,,18,2021,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids,https://doi.org/10.3390/fi13090237,Juan R. Lopez; Pedro Ponce; Arturo Molina,Future Internet,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
104,NO,,18,2011,AutomatL@bs Consortium,https://doi.org/10.4018/978-1-61350-186-3.ch011,S. Dormido; Héctor Vargas; J. Sánchez,IGI Global eBooks,Engineering-education confusable phrasing; no LE venue/figure.,openalex
105,NO,,18,2019,Motivating first-year engineering students through gamified homework,https://doi.org/10.1080/09650792.2019.1635511,Abigail Kulhanek; Brittany Butler; Cheryl Bodnar,Educational Action Research,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
106,NO,,18,,FROM A NATIONAL POPULATION,,M. Hsu; M. Cardella,,No abstract and no LE signals in title/venue/authors.,semanticscholar
107,NO,,18,2024,Multi-Fidelity Methods for Optimization: A Survey,https://doi.org/10.1145/3801959,Ke Li; Fan Li,ACM Computing Surveys,No LE-discipline signals found.,semanticscholar
108,NO,,17,2019,Industry 4.0 paradigm on teaching and learning engineering,,Borja Bordel; Ramón Alcarria; Tomás Robles,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
109,YES,,17,2018,Engineering Motivation Using the Belief-Expectancy-Control Framework,https://doi.org/10.31532/interdiscipeducpsychol.2.1.004,Richard E. Clark; Bror Saxberg,Interdisciplinary Education and Psychology,Clark & Saxberg explicitly describe BEC framework as 'a learning engineering approach' at scale.,openalex
110,NO,,17,2007,Enhancing traditional classroom instruction with web-based Statics course,https://doi.org/10.1109/fie.2007.4417892,Anna Dollár; Paul S. Steif; Ross Strader,Proceedings/Proceedings - Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
111,NO,,17,2017,Explicating the Characteristics of STEM Teaching and Learning: A Metasynthesis,https://doi.org/10.30707/jste52.1nite,Sandra Nite; Mary Margaret Capraro; Robert M. Capraro,Journal of STEM Teacher Education,"Nite STEM metasynthesis — STEM-ed review, not LE.",openalex|semanticscholar
112,NO,,17,2011,ACQUISITION OF DESIGN-RELEVANT KNOWLEDGE WITHIN THE DEVELOPMENT OF SHEET-BULK METAL FORMING,,Sebastian Röhner; Thilo Breitsprecher; Sandro Wartzack,,"Sheet-bulk metal forming self-learning engineering assistance system — manufacturing ML, not LE.",openalex|semanticscholar
