resource_id,registry_name,proposed_title,suggested_collection,suggested_format,proposed_description,primary_topic,secondary_topics,registry_description
LE-IC-017,"Silver Lining for Learning — Human-Centered Methods in LE (podcast, 2023)",Silver Lining for Learning: Human-Centered Methods in Learning Engineering,events,podcast,Podcast episode focused on applying human-centered design methods within the LE process and team workflow.,T03,T02,Episode of the Silver Lining for Learning podcast focused on human-centered design methods applied within the learning engineering process.
LE-IC-018,"Baker, Boser & Snow (2022) — Learning Engineering: A View on Where the Field Is At","Learning Engineering: A View on the Field and Future Research (Baker, Boser, Snow, 2022)",reading-list,article,"Open-access overview of the field’s current state, defining practices and outlining priority research problems for the next stage of development.",T00,T17,"Open-access article surveying the state of the learning engineering field as of 2022. Reviews definitions, practice norms, evidence standards, and key open problems."
LE-IC-019,Craig et al. (2023) — Learning Engineering Perspectives for Educational Systems,"Learning Engineering Perspectives for Educational Systems (Craig et al., 2023)",reading-list,article,"Article on how learning engineering can shape educational systems at scale through changes to policy, infrastructure, and practice.",T00,"T16, T03","Multi-author article framing how learning engineering perspectives can transform educational systems at scale. Addresses policy, infrastructure, and community dimensions."
LE-IC-020,Lee (2023) — Learning Sciences & Learning Engineering: Natural or Artificial Distinction?,"Learning Sciences and Learning Engineering: Natural or Artificial Distinction? (Lee, 2023)",reading-list,article,"Scholarly analysis of the relationship between learning sciences and learning engineering, arguing for tighter integration of the two.",T00,T01,"Scholarly article examining the relationship between learning sciences and learning engineering. Argues for integration rather than separation, tracing epistemological differences and convergences."
LE-IC-021,"Kolodner (2023) — Learning Engineering: What It Is, Why I'm Involved","Learning Engineering: What It Is and Why I’m Involved (Kolodner, 2023)",reading-list,essay,"Reflective essay on the origins, purpose, and practical value of learning engineering from a leading field contributor.",T00,,"Personal essay and scholarly reflection by Janet Kolodner on the nature of learning engineering, its roots in learning sciences, and her reasons for engagement with the field."
LE-IC-028,AECT Learning Engagement Activated Podcast — Jim Goodell Episode (2022),AECT Learning Engagement Activated: Jim Goodell on Learning Engineering,events,podcast,"Podcast episode covering LE principles, ICICLE community work, and implications for evidence-based professional learning design.",T00,T16,"Podcast episode featuring Jim Goodell discussing learning engineering principles, the ICICLE community, and the future of evidence-based learning design in professional development contexts."
LE-IC-031,"Learning Engineering at a Glance (Schatz, Goodell & Kessler, Army Press, 2023)","Learning Engineering at a Glance (Army Press, 2023)",reading-list,article,Short military-facing overview connecting LE concepts to mission-critical workforce training and high-consequence performance contexts.,T00,"T13, T10","Concise overview of learning engineering for military and defense training contexts, published by US Army Press. Bridges LE field concepts with high-consequence domain workforce applications."
LE-IC-032,State of XR & Immersive Learning Report 2021 (iLRN / ICICLE),State of XR and Immersive Learning Report 2021,reading-list,report,"State-of-field report on XR in learning, summarizing evidence, adoption patterns, and implementation considerations for immersive modalities.",T08,,"Annual state-of-the-field report on extended reality (XR/VR/AR) in learning contexts, co-produced with ICICLE. Covers research landscape, practitioner adoption, and evidence base for immersive learning."
LE-IC-033,Data Use Throughout the Learning Engineering Process (ICICLE graphic),Data Use Across the Learning Engineering Process,practice,diagram,"Graphic and guidance showing how formative, summative, behavioral, and survey data are used across LE phases.",T04,"T03, T15","Infographic and supporting documentation mapping how different types of data — formative, summative, behavioral, survey — are collected and used at each stage of the LE process."
LE-IC-034,Learning Engineering Adjacent Academic Programs Directory (ICICLE),Learning Engineering Adjacent Academic Programs Directory,community,program,"Directory of degree and training programs adjacent to LE, including learning sciences, edtech, HCI, and LE-focused pathways.",T16,T00,"Google Doc directory of academic programs adjacent to or incorporating learning engineering, including LE-specific degrees, learning sciences programs, educational technology programs, and HCI programs."
LE-IC-035,"Learning Engineering is a Team Sport (ICICLE presentation, 2024)","Learning Engineering Is a Team Sport (ICICLE, 2024)",practice,framework,Presentation on building effective multidisciplinary LE teams and clarifying contributions across roles throughout a project lifecycle.,T00,T03,"ICICLE presentation emphasizing the collaborative, multidisciplinary nature of learning engineering teams. Addresses how different domain experts contribute to LE projects and how to build effective teams."
LE-IC-036,"Teaming Up to Improve Medical & Healthcare Education (Kurzweil & Marcellas, 2020)","Teaming Up to Improve Medical and Healthcare Education (Kurzweil & Marcellas, 2020)",reading-list,article,"Case study showing how LE team practices are applied in medical and healthcare education, where performance stakes are high.",T13,"T00, T03","Case study and practitioner article applying learning engineering team approaches to medical and healthcare professional education. Demonstrates LE in a high-stakes, complex domain."
LE-IC-037,"Build a Learning Data Dream Team (Torrance, Lin & Goodell, ATD, 2024)","Build a Learning Data Dream Team (Torrance, Lin, Goodell, 2024)",reading-list,article,Practitioner article on staffing and collaboration patterns for data-informed learning improvement teams.,T04,"T03, T00","Practitioner article on assembling multidisciplinary teams to leverage learning data effectively. Covers roles (data analyst, learning engineer, instructional designer) and collaborative workflows."
LE-IC-039,Van Campenhout et al. (2023) — Student-Centered Educational Data Science Through Learning Engineering,"Student-Centered Educational Data Science Through Learning Engineering (Van Campenhout et al., 2023)",reading-list,article,Research article demonstrating how student-centered data science and iterative LE design can reinforce one another in applied settings.,T04,"T17, T03",Research article integrating educational data science methods within a learning engineering framework. Demonstrates how student-centered analysis and iterative design reinforce each other in practice.
